timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-12 16:22:43.190,CKKS,8192,40,8,334461,4.343,41807.625,128,55
2025-12-12 16:22:43.201,CKKS,8192,40,8,334417,4.490,41802.125,128,137
2025-12-12 16:22:43.228,CKKS,8192,40,8,334387,4.513,41798.375,128,22
2025-12-12 16:22:43.302,CKKS,8192,40,8,334366,4.363,41795.750,128,88
2025-12-12 16:22:43.351,CKKS,8192,40,8,334400,4.433,41800.000,128,491
2025-12-12 16:22:43.389,CKKS,8192,40,8,334301,6.154,41787.625,128,251
2025-12-12 16:22:43.473,CKKS,8192,40,8,334462,4.540,41807.750,128,235
2025-12-12 16:22:43.499,CKKS,8192,40,8,334174,4.407,41771.750,128,348
2025-12-12 16:22:43.511,CKKS,8192,40,8,334439,4.384,41804.875,128,170
2025-12-12 16:22:43.570,CKKS,8192,40,8,334392,4.516,41799.000,128,332
2025-12-12 16:22:43.582,CKKS,8192,40,8,334444,4.279,41805.500,128,121
2025-12-12 16:22:43.618,CKKS,8192,40,8,334138,4.433,41767.250,128,396
2025-12-12 16:22:43.665,CKKS,8192,40,8,334536,4.650,41817.000,128,380
2025-12-12 16:22:43.665,CKKS,8192,40,8,334272,4.746,41784.000,128,364
2025-12-12 16:22:43.690,CKKS,8192,40,8,334406,4.337,41800.750,128,412
2025-12-12 16:22:43.703,CKKS,8192,40,8,334401,4.440,41800.125,128,316
2025-12-12 16:22:43.708,CKKS,8192,40,8,334254,4.491,41781.750,128,39
2025-12-12 16:22:43.723,CKKS,8192,40,8,334293,4.444,41786.625,128,219
2025-12-12 16:22:43.729,CKKS,8192,40,8,334122,4.565,41765.250,128,6
2025-12-12 16:22:43.732,CKKS,8192,40,8,334326,4.469,41790.750,128,428
2025-12-12 16:22:43.839,CKKS,8192,40,8,334142,4.512,41767.750,128,72
2025-12-12 16:22:43.905,CKKS,8192,40,8,334250,4.264,41781.250,128,154
2025-12-12 16:22:43.914,CKKS,8192,40,8,334093,4.492,41761.625,128,300
2025-12-12 16:22:43.922,CKKS,8192,40,8,334130,4.390,41766.250,128,444
2025-12-12 16:22:43.945,CKKS,8192,40,8,333259,4.407,41657.375,128,203
2025-12-12 16:22:43.947,CKKS,8192,40,8,334243,4.585,41780.375,128,105
2025-12-12 16:22:43.954,CKKS,8192,40,8,334415,4.384,41801.875,128,460
2025-12-12 16:22:44.065,CKKS,8192,40,8,334379,4.576,41797.375,128,284
2025-12-12 16:22:44.157,CKKS,8192,40,8,334376,6.566,41797.000,128,268
2025-12-12 16:22:44.249,CKKS,8192,40,8,334352,6.271,41794.000,128,476
2025-12-12 16:22:44.258,CKKS,8192,40,8,334092,4.359,41761.500,128,138
2025-12-12 16:22:44.261,CKKS,8192,40,8,334074,4.434,41759.250,128,187
2025-12-12 16:22:44.419,CKKS,8192,40,8,334264,6.191,41783.000,128,23
2025-12-12 16:22:44.426,CKKS,8192,40,8,334317,6.249,41789.625,128,56
2025-12-12 16:22:44.432,CKKS,8192,40,8,334356,4.957,41794.500,128,252
2025-12-12 16:22:44.439,CKKS,8192,40,8,334373,4.381,41796.625,128,492
2025-12-12 16:22:44.513,CKKS,8192,40,8,334462,4.481,41807.750,128,89
2025-12-12 16:22:44.673,CKKS,8192,40,8,334499,6.024,41812.375,128,171
2025-12-12 16:22:44.684,CKKS,8192,40,8,334282,4.505,41785.250,128,236
2025-12-12 16:22:44.691,CKKS,8192,40,8,334058,4.355,41757.250,128,349
2025-12-12 16:22:44.756,CKKS,8192,40,8,334163,4.551,41770.375,128,122
2025-12-12 16:22:44.802,CKKS,8192,40,8,334102,4.557,41762.750,128,333
2025-12-12 16:22:44.842,CKKS,8192,40,8,334479,4.545,41809.875,128,397
2025-12-12 16:22:44.843,CKKS,8192,40,8,334423,4.472,41802.875,128,365
2025-12-12 16:22:44.851,CKKS,8192,40,8,334329,4.340,41791.125,128,381
2025-12-12 16:22:44.857,CKKS,8192,40,8,334449,4.724,41806.125,128,220
2025-12-12 16:22:44.954,CKKS,8192,40,8,334391,4.503,41798.875,128,413
2025-12-12 16:22:44.968,CKKS,8192,40,8,334372,4.356,41796.500,128,317
2025-12-12 16:22:44.986,CKKS,8192,40,8,334346,4.309,41793.250,128,429
2025-12-12 16:22:45.139,CKKS,8192,40,8,334335,4.538,41791.875,128,73
2025-12-12 16:22:45.154,CKKS,8192,40,8,334127,5.024,41765.875,128,155
2025-12-12 16:22:45.158,CKKS,8192,40,8,334405,4.921,41800.625,128,7
2025-12-12 16:22:45.169,CKKS,8192,40,8,334366,4.555,41795.750,128,301
2025-12-12 16:22:45.209,CKKS,8192,40,8,334181,4.371,41772.625,128,445
2025-12-12 16:22:45.227,CKKS,8192,40,8,334050,4.572,41756.250,128,40
2025-12-12 16:22:45.274,CKKS,8192,40,8,334451,4.565,41806.375,128,204
2025-12-12 16:22:45.279,CKKS,8192,40,8,334462,4.690,41807.750,128,461
2025-12-12 16:22:45.300,CKKS,8192,40,8,334079,5.851,41759.875,128,106
2025-12-12 16:22:45.301,CKKS,8192,40,8,334168,6.019,41771.000,128,285
2025-12-12 16:22:45.398,CKKS,8192,40,8,334384,4.531,41798.000,128,269
2025-12-12 16:22:45.528,CKKS,8192,40,8,334414,4.503,41801.750,128,188
2025-12-12 16:22:45.602,CKKS,8192,40,8,334271,5.038,41783.875,128,57
2025-12-12 16:22:45.607,CKKS,8192,40,8,334407,4.495,41800.875,128,24
2025-12-12 16:22:45.611,CKKS,8192,40,8,334239,4.453,41779.875,128,139
2025-12-12 16:22:45.617,CKKS,8192,40,8,334334,4.390,41791.750,128,253
2025-12-12 16:22:45.629,CKKS,8192,40,8,334314,4.552,41789.250,128,477
2025-12-12 16:22:45.637,CKKS,8192,40,8,334090,4.374,41761.250,128,90
2025-12-12 16:22:45.642,CKKS,8192,40,8,334006,4.901,41750.750,128,493
2025-12-12 16:22:45.933,CKKS,8192,40,8,334206,4.567,41775.750,128,172
2025-12-12 16:22:45.981,CKKS,8192,40,8,334160,4.408,41770.000,128,237
2025-12-12 16:22:46.105,CKKS,8192,40,8,334437,4.485,41804.625,128,123
2025-12-12 16:22:46.218,CKKS,8192,40,8,334137,4.381,41767.125,128,350
2025-12-12 16:22:46.224,CKKS,8192,40,8,334422,4.631,41802.750,128,366
2025-12-12 16:22:46.240,CKKS,8192,40,8,334426,4.324,41803.250,128,382
2025-12-12 16:22:46.250,CKKS,8192,40,8,334387,4.454,41798.375,128,398
2025-12-12 16:22:46.274,CKKS,8192,40,8,334299,4.843,41787.375,128,414
2025-12-12 16:22:46.282,CKKS,8192,40,8,334119,5.015,41764.875,128,221
