timestamp,algorithm,poly_modulus_degree,scale_bits,plaintext_size_bytes,ciphertext_size_bytes,encryption_time_ms,communication_overhead,security_level_bits,meter_id
2025-12-13 15:31:05.226,CKKS,16384,50,8,656968,9.538,82121.000,192,140
2025-12-13 15:31:05.250,CKKS,16384,50,8,658256,9.748,82282.000,192,25
2025-12-13 15:31:05.263,CKKS,16384,50,8,657323,13.129,82165.375,192,462
2025-12-13 15:31:05.279,CKKS,16384,50,8,658074,10.587,82259.250,192,58
2025-12-13 15:31:05.307,CKKS,16384,50,8,658219,13.487,82277.375,192,254
2025-12-13 15:31:05.311,CKKS,16384,50,8,658194,14.844,82274.250,192,189
2025-12-13 15:31:05.355,CKKS,16384,50,8,657373,12.060,82171.625,192,91
2025-12-13 15:31:05.545,CKKS,16384,50,8,658047,11.074,82255.875,192,238
2025-12-13 15:31:05.576,CKKS,16384,50,8,657389,13.252,82173.625,192,478
2025-12-13 15:31:05.639,CKKS,16384,50,8,655991,9.636,81998.875,192,173
2025-12-13 15:31:05.646,CKKS,16384,50,8,658220,13.032,82277.500,192,124
2025-12-13 15:31:05.664,CKKS,16384,50,8,658237,8.983,82279.625,192,351
2025-12-13 15:31:05.687,CKKS,16384,50,8,657965,10.397,82245.625,192,383
2025-12-13 15:31:05.698,CKKS,16384,50,8,658096,12.058,82262.000,192,367
2025-12-13 15:31:05.726,CKKS,16384,50,8,658281,9.343,82285.125,192,335
2025-12-13 15:31:05.772,CKKS,16384,50,8,658230,8.979,82278.750,192,399
2025-12-13 15:31:05.843,CKKS,16384,50,8,657577,9.553,82197.125,192,42
2025-12-13 15:31:05.864,CKKS,16384,50,8,658135,8.751,82266.875,192,494
2025-12-13 15:31:05.884,CKKS,16384,50,8,658197,9.399,82274.625,192,222
2025-12-13 15:31:05.915,CKKS,16384,50,8,657960,13.442,82245.000,192,9
2025-12-13 15:31:05.917,CKKS,16384,50,8,657372,9.789,82171.500,192,319
2025-12-13 15:31:05.926,CKKS,16384,50,8,657365,12.255,82170.625,192,75
2025-12-13 15:31:05.968,CKKS,16384,50,8,658099,8.818,82262.375,192,415
2025-12-13 15:31:05.993,CKKS,16384,50,8,656870,12.951,82108.750,192,157
2025-12-13 15:31:05.999,CKKS,16384,50,8,658020,9.452,82252.500,192,303
2025-12-13 15:31:06.055,CKKS,16384,50,8,655895,9.422,81986.875,192,431
2025-12-13 15:31:06.079,CKKS,16384,50,8,657808,9.296,82226.000,192,108
